优先级,测试项目,测试标题,用例编号,预置条件,测试输入,操作步骤,预期结果,实际结果
,登录,账号中间包含空格,login-003,"1.页面正常打开
2.系统中已存在合法账号admin，对应为admin123","{""zh"":""ad min"",""pwd"":""admin123""}","1.打开页面
2.输入账号密码
3.点击登录",用户不存在/密码错误,
,登录,账号为空,login-004,页面正常打开,"{""zh"":"""",""pwd"":""admin123""}","1.打开页面
2.输入密码
3.点击登录",请输入您的账号,
,登录,账号包含非英文数字,login-005,页面正常打开,"{""zh"":""admin@a"",""pwd"":""admin123""}","1.打开页面
2.输入账号密码
3.点击登录",用户不存在/密码错误,
,登录,密码限制非英文数字符号,login-006,页面正常打开,"{""zh"":""admin"",""pwd"":""adm是in123""}","1.打开页面
2.输入账号密码
3.点击登录",用户不存在/密码错误,
,登录,密码左右两边包含空格,login-007,"1.页面正常打开
2.系统中已存在合法账号admin，对应为admin123","{""zh"":""admin"",""pwd"":"" admin123 ""}","1.打开页面
2.输入账号密码
3.点击登录",用户不存在/密码错误,
,登录,密码大小写未正确区分,login-008,"1.页面正常打开
2.系统中已存在合法账号admin，对应为admin123","{""zh"":""admin"",""pwd"":""Admin123""}","1.打开页面
2.输入账号密码
3.点击登录",用户不存在/密码错误,
,登录,密码为空,login-009,页面正常打开,"{""zh"":""admin"",""pwd"":""""}","1.打开页面
2.输入账号
3.点击登录",请输入您的密码,
,登录,密码包含空格,login-010,"1.页面正常打开
2.系统中已存在合法账号admin，对应为admin123","{""zh"":""admin"",""pwd"":""admin 123""}","1.打开页面
2.输入账号密码
3.点击登录",用户不存在/密码错误,
,登录,密码在界面掩码显示,login-025,页面正常打开,"{""zh"":""admin"",""pwd"":""admin123""}","1.打开页面
2.输入账号密码",密码掩码显示,
,登录,页面显示正常,login-027,无,{},"1.观察页面元素显示正不正确
2.观察页面文字有没有错字
3.观察页面有没有少显示元素",显示正常,
,登录,登录，退出，再登录,login-028,"1.页面正常打开
2.存在账号","{""zh"":""admin"",""pwd"":""admin123""}","1.打开页面
2.输入账号密码，登录
3.点击头像
4.点击退出，并点确认
5.输入账号密码，登录
6.点击头像
7.点击退出，并点确认","1.最开始显示登录页面
2.切换到管理页面
3.切换到登录页面",
,登录,记住密码,login-029,"1.页面正常打开
2.存在账号","{""zh"":""admin"",""pwd"":""admin123"",""flag"":""true""}","1.打开页面
2.输入账号密码
3.登录，关闭登录到的页面
4.打开登录页面","1.跳转页面到若衣管理系统
2.账号名是若依",
,登录,刷新页面后登录，账号错误,login-033,页面正常打开,"{""zh"":""ad min"",""pwd"":""admin123""}","1.打开页面
2.刷新页面
3.输入账号密码
4.点击登录",用户不存在/密码错误,
,登录,登录失败后刷新,login-035,页面正常打开,"{""zh"":""ad min"",""pwd"":""admin123""}","1. 打开登录页
2. 输入账号、密码
3. 点击登录
4.点击刷新",页面清空所有信息,
,登录,登录成功后后退,login-036,"1.页面正常打开
2.存在账号","{""zh"":""admin"",""pwd"":""admin123""}","1. 打开登录页
2. 输入账号、密码
3. 点击登录
4.点击后退","1.跳转页面到若衣管理系统
2.账号名是admin
3.后退后仍然是若依管理系统页面",
,登录,登录页面返回后前进，再登录,login-037,"1.页面正常打开
2.存在账号","{""zh"":""admin"",""pwd"":""admin123""}","1. 打开登录页
2.点击后退
3.点击前进
4. 输入账号、密码","1.跳转页面到若衣管理系统
2.账号名是admin",
,登录,登录页面返回后前进，再登录输入不正确账号,login-038,页面正常打开,"{""zh"":""ad min"",""pwd"":""admin123""}","1. 打开登录页
2.点击后退
3.点击前进
4. 输入账号、密码",用户不存在/密码错误,
,登录,登录成功两次，注销登录一次,login-040,"1.页面正常打开
2.存在账号","{""zh"":""admin"",""pwd"":""admin123""}","1.打开页面
2.输入账号密码
3.点击登录
4.再创建个新页面重复一次登录
5.再在新页面注销登录
6.刷新两个页面",两个页面刷新后返回登录页面,
,用户管理-新增,只填必填项,add-001,"1.使用admin账号
2.页面正常打开
3.状态正常","{""nickname"":""普通人ptr"",""zh"":""ptr123"",""pwd"":""123456""}","1.登录到首页
2.进入到用户管理，点击新增
3.填入昵称，名称，密码
4.点击确定","ry数据库user表多了ptr123用户
网页端表格多了普通人ptr用户",
,用户管理-新增,所有信息全填,add-002,"1.使用admin账号
2.页面正常打开
","{ ""nickname"": ""普通人ptr"", ""department"": ""若依科技,深圳总公司,测试部门"", ""phone"": ""13984380003"", ""email"": ""wildgugugu@163.com"", ""gender"": ""女"", ""post"": ""普通员工"", ""role"": ""普通角色"", ""zh"": ""ptr123"", ""pwd"": ""123456"", ""remark"": ""123"" }","1.登录到首页
2.进入到用户管理，点击新增
3.填入全部信息
4.点击确定","ry数据库user表多了ptr123用户
网页端表格多了普通人ptr用户，信息完全",
,用户管理-新增,只填必填项，但停用账号,add-003,"1.使用admin账号
2.页面正常打开
3.状态停用","{""nickname"":""普通人ptr"",""zh"":""ptr123"",""pwd"":""123456""}","1.登录到首页
2.进入到用户管理
3.点击新增，填入必填项，勾选停用账号
4.点击确定","ry数据库user表多了ptr123用户
网页端表格多了普通人ptr用户，显示停用",
,用户管理-新增,只填必填项，点击取消,add-004,"1.使用admin账号
2.页面正常打开","{""nickname"":""普通人ptr"",""zh"":""ptr123"",""pwd"":""123456""}","1.登录到首页
2.进入到用户管理
3.点击新增，填入必填项
4.点击取消","ry数据库user表没有新增用户
网页端表格没有新增用户",
